Year,Amount spent (in thousands of USD),Link,Page according to PDF,Wildfire acreage
2001,1890,https://bfm.sd.gov/ACFR/SD_CAFR_2001.PDF,60,
2002,1692,https://bfm.sd.gov/ACFR/SD_CAFR_2002.PDF,75,55976
2003,1300,https://bfm.sd.gov/ACFR/SD_CAFR_2003.PDF,31,116933
2004,3500,https://bfm.sd.gov/ACFR/SD_CAFR_2004.PDF,31,73585
2005,2800,https://bfm.sd.gov/ACFR/SD_CAFR_2005.PDF,32,7309
2006,1700,https://bfm.sd.gov/ACFR/SD_CAFR_2006.PDF,33,47860
2007,700,https://bfm.sd.gov/ACFR/SD_CAFR_2007.PDF,33,288616
2008,4700,https://bfm.sd.gov/ACFR/SD_CAFR_2008.PDF,35,55731
2009,600,https://bfm.sd.gov/ACFR/SD_CAFR_2009.PDF,37,5803
2010,1200,https://bfm.sd.gov/ACFR/SD_CAFR_2010.PDF,33,10335
2011,,,,7100
2012,7900,https://bfm.sd.gov/ACFR/SD_CAFR_2012.PDF,25,123484
2013,6200,https://bfm.sd.gov/ACFR/SD_CAFR_2013.PDF,27,148604
2014,1950,https://bfm.sd.gov/ACFR/SD_CAFR_2014.PDF,26,11421
2015,750,https://bfm.sd.gov/ACFR/SD_CAFR_2015.PDF,26,53145
2016,1300,https://bfm.sd.gov/ACFR/SD_CAFR_2016.PDF,24,17359
2017,3300,https://bfm.sd.gov/ACFR/SD_CAFR_2017.PDF,26,74228
2018,766,https://bfm.sd.gov/ACFR/SD_CAFR_2018.PDF,14,65659
2019,900,https://bfm.sd.gov/ACFR/SD_CAFR_2019.PDF,30,4413
2020,2874,https://bfm.sd.gov/ACFR/SD_CAFR_2020.PDF,104,3404
2021,4501,https://bfm.sd.gov/ACFR/SD_ACFR_2021.PDF#view=fit,104,39771
2022,8441,https://bfm.sd.gov/ACFR/SD_ACFR_2022.PDF#view=fit,103,17059
2023,5500,https://bfm.sd.gov/ACFR/SD_ACFR_2023.PDF#view=fit,102,5655
